,English,German,Arabic
1988,"Frankly speaking, he is wrong.","Ehrlich gesagt, liegt er falsch.",في الحقيقة، إنه مخطئ.
1989,He's my brother.,Er ist mein Bruder.,هو أخي
1990,Let us go home.,Lass uns nach Hause gehen.,هيا لنرجع إلى المنزل.
1991,it s always a good idea to remind ourselves of some basic online safety rules google offers a set of useful tips for staying more secure on the web.,"es ist immer eine gute Idee, sich an einige grundlegende Online-Sicherheitsregeln zu erinnern google bietet eine Reihe von nützlichen Tipps für mehr Sicherheit im Web zu bleiben.",من الجيد دايما تذكير انفسنا ببعض القواعد الاساسية من اجل الحماية على الانترنت تقدم شركة جوجل نصايح قيمة ومفيدة لتصفح الانترنت بامان بالعربية
1992,Possibly she will not come.,Vielleicht wird sie nicht kommen.,من الممكن أن لا تأتي.
1993,"What does the word ""get"" mean in this sentence?","Was bedeutet das Wort ""get"" in diesem Satz?","ما الذي تعنيه كلمة ""get"" في هذه الجملة؟"
1994,Tom seems OK now.,Tom scheint jetzt in Ordnung zu sein.,يبدو توم بحال جيدة.
1995,Tom refused to talk about it.,"Tom weigerte sich, darüber zu reden.",رفض توم التحدث عن ذلك
1996,What's that bird called?,Wie heißt der Vogel?,ما اسم هذا الطائر؟
1997,Cows give us milk.,Kühe geben uns Milch.,البقر يعطينا الحليب.
1998,Thank you for your kindness.,Danke für Ihre Freundlichkeit.,شكراً لكَ على لطفك.
1999,Tell me how to solve the problem.,"Sag mir, wie ich das Problem lösen kann.",علمني كيف أحل هذه المشكلة.
2000,Defend yourselves.,Verteidiget euch.,دافِعوا عن انفُسَكُم.
2001,He reads a good deal.,Er liest einen guten Deal.,هو قارئ نهم.
2002,the city is like human s organ health is most important whether a city is healthy depends on its functionality its ability to withstand disaster its citizens attribution and civic manner the extravagance outlook of the city is just a fragile mask which can be torn off easily by a rainstorm or a big fire or a epidemic who is happy about the skyscraper race will ordinary citizens be happy about it.,"die Stadt ist wie die menschliche Organgesundheit ist am wichtigsten, ob eine Stadt gesund ist, hängt von ihrer Funktionalität seine Fähigkeit, Katastrophe zu widerstehen seine Bürger Zuschreibung und bürgerliche Art und Weise die Extravaganz Ausblick der Stadt ist nur eine zerbrechliche Maske, die leicht von einem Regensturm oder einem großen Feuer oder eine Epidemie, die über den Wolkenkratzer Rennen glücklich ist, werden normale Bürger glücklich darüber sein.",تعتبر المدينة كاعضاء الانسان الصحة هي الاكثر اهمية تعتمد صحة المدينة على تشغيلها وفعاليتها قدرتها على التصدي للكوارث طبيعة وجودة مواطنيها وحالة التحدر المظهر الخارجي المبذر للمدينة مجرد قناع هش سيتحطم بسهولة بعد هبوب عاصفة رعدية او اشتعال ضخم للنيران او انتشار وباء ما من منا سعيد بسباق ناطحات السحاب هذا؟ اي مواطن عادي سيكون سعيد بها؟
2003,I don't have the time to read that book.,"Ich habe keine Zeit, das Buch zu lesen.",لا أملك الوقت الكافي لقراءة هذا الكتاب
2004,Do you want me to give you a hand?,Soll ich dir helfen?,أتود أن أساعدك؟
2005,Did you do your homework by yourself?,Hast du deine Hausaufgaben alleine gemacht?,هل حللتَ واجِبك بنفسك؟
2006,Would you pass me the salt?,Gibst du mir das Salz?,هل لك أن تمرر لي الملح من فضلك؟
2007,Is it true that Boston is a popular destination for tourists?,"Stimmt es, dass Boston ein beliebtes Reiseziel für Touristen ist?",هل صحيح ان بوسطن مقصد شهير للسياح ؟
2008,jordan what happened to education global voices.,"Jordan, was mit globalen Bildungsstimmen passiert ist.",الاردن ماذا حدث للتعليم؟ الاصوات العالمية
2009,Take a rest.,Ruh dich aus.,استرِح.
2010,bulgarian pm takes a nap at nobel peace prize event global voices.,bulgarisch pm macht ein Nickerchen bei nobel peace prize event globale Stimmen.,رييس وزراء بلغاريا يغفو اثناء حفل جايزة نوبل للسلام الاصوات العالمية
2011,Tom wrote a story about that.,Tom schrieb eine Geschichte darüber.,كتب توم قصة عن ذلك.
2012,You can take off the bandage tomorrow.,Du kannst morgen den Verband ausziehen.,بإمكانك خلع الضّمادة غدا.
2013,human rights watch issued on may a report entitled they burned my heart documenting war crimes in idlib province during un envoy kofi annan s peace negotiations plan.,"Die Menschenrechtswache, die auf einem Bericht mit dem Titel ""Sie verbrannten mein Herz"" ausgestellt wurde, dokumentiert Kriegsverbrechen in der Provinz idlib während des Friedensverhandlungensplans von un envoy kofi annan.",في ٣ مايو حزيران ٢٠١٢ اصدرت منظمة مراقبة حقوق الانسان تقريرا بعنوان لقد احرقو قلبي يوثق جرايم الحرب في مقاطعة ادلب خلال زيارة مبعوث الامم المتحدة كوفي عنان لخطة مفاوضات السلام
2014,Those books are theirs.,Diese Bücher gehören ihnen.,تلك كتبهم.
2015,She provided me with some food.,Sie versorgte mich mit etwas Essen.,هي ذودتني ببعض الطعام.
2016,It's an old piano.,Es ist ein altes Klavier.,إنه بيانو قديم.
2017,The house is burning.,Das Haus brennt.,المنزل يحترق.
2018,Only a few people understood me.,Nur wenige Leute verstanden mich.,كل من فهمني هم حفنة من الناس.
2019,Have you been shot?,Wurden Sie angeschossen?,هل أصبت بعيار ناري؟
2020,She thought that I was a doctor.,"Sie dachte, ich wäre Arzt.",اعتقدت أنني طبيب.
2021,"Hurry up, or you'll be late for school.","Beeil dich, sonst kommst du zu spät zur Schule.",أسرع و إلا ستتأخر عن المدرسة.
2022,Tom turned the lights off.,Tom machte das Licht aus.,أطفئ توم المصابيح.
2023,Where is my book?,Wo ist mein Buch?,أين كتابي؟
2024,California is famous for its fruit.,Kalifornien ist berühmt für seine Früchte.,اشتهرت كاليفورنيا بفواكهها.
2025,Where's the whipped cream?,Wo ist die Schlagsahne?,أين القِشدة؟
2026,She cooked herself a good meal.,Sie kochte sich ein gutes Essen.,أعدت لنفسها طعاماً شهياً.
2027,Let's not talk.,Lass uns nicht reden.,دعنا لا نتحدث.
2028,A boy like Tom doesn't deserve a girl like Mary.,Ein Junge wie Tom verdient ein Mädchen wie Maria nicht.,ولد مثل توم لا يستحق بنت مثل ماري.
2029,You don't have to listen to what he says.,"Du musst nicht hören, was er sagt.",لا يجب عليك أن تستمع إلی ما يقول.
2030,Tom and I are dependent on each other.,Tom und ich sind aufeinander angewiesen.,أنا وتوم نعيل بعضنا.
2031,Please don't cry.,Bitte weine nicht.,من فضلك لا تبكِ.
2032,I want to become a singer.,Ich will Sänger werden.,أريد أن أصير مغنّيًا.
2033,Can you drive a car?,Kannst du ein Auto fahren?,هل بإمكانك قيادة سيارة؟
2034,Did you play tennis yesterday?,Hast du gestern Tennis gespielt?,هل لعبت التنس البارحة؟
2035,There are lots of animals in the park.,Es gibt viele Tiere im Park.,يوجد الكثير من الحيوانات في المنتزه.
2036,How many hours does it take to go to Okinawa by plane?,"Wie viele Stunden dauert es, mit dem Flugzeug nach Okinawa zu fliegen?",كم هي عدد الساعات المستغرقة للذهاب إلى أوكيناوا بالطائرة؟
2037,Japan is close to China.,Japan ist nahe an China.,اليابان قريبة من الصين.
2038,The dog attacked the little boy.,Der Hund griff den kleinen Jungen an.,تهجم الكلب على الصغير.
2039,I received her letter yesterday.,Ich habe gestern ihren Brief erhalten.,استلمت رسالتها البارحة.
2040,additionally once you start typing it creates a keylogger file called c docume admini locals temp dclogs sys which is also shown.,"Wenn Sie mit der Eingabe beginnen, wird zusätzlich eine Keylogger-Datei namens c docume admini locals temp dclogs sys erstellt, die ebenfalls angezeigt wird.",بالاضافة الى انه ما ان تبدا بالطباعة فانه يقوم بانشاء ملف باسم
2041,I tried to cheer him up.,Ich wollte ihn aufheitern.,حاولت رفع معنوياته.
2042,What he needs most is a good job.,"Was er am meisten braucht, ist eine gute Arbeit.",ما يحتاجه حقاً هو وظيفة جيدة.
2043,I'll never let you go.,Ich werde dich nie gehen lassen.,لن أتركك ترحل أبدا.
2044,I have the ace of hearts.,Ich habe das Herz-Ass.,انا املك الآس قلوب.
2045,Let us go home.,Lass uns nach Hause gehen.,لنعُد إلى البيت.
2046,Let's have a tea party the day after tomorrow.,Trinken wir übermorgen eine Teeparty.,لنعمل حفلةَ شاي بعد غد.
2047,"Now that I am here, you don't have to worry.","Jetzt, wo ich hier bin, musst du dir keine Sorgen machen.",لا تقلق ، أنا هنا الآن.
2048,School begins the day after tomorrow.,Die Schule beginnt übermorgen.,ستبدأ الدراسة بعد غد.
2049,I'm very happy.,Ich bin sehr glücklich.,أنا سعيد للغاية.
2050,james bargent in in sight crime writes about intra urban displacement when victims are displaced to a different part of the same city in medellin colombia.,"James bargent in Sicht Verbrechen schreibt über innerstädtische Vertreibung, wenn Opfer in einen anderen Teil der gleichen Stadt in Medellin kolumbien vertrieben werden.",كتب جيمس بارجينت على موقع ان سايت كرايم عن التهجير الداخلي عندما يتم تهجير الضحايا الى مكان اخر في نفس المدينة في ميديلين كولومبيا
2051,How's the water here?,Wie ist das Wasser hier?,كيف الماء هنا؟
2052,I told them to stay in their room.,"Ich sagte ihnen, sie sollen in ihrem Zimmer bleiben.",لقد قلت لهم أن يبقوا في غرفتهم.
2053,I wonder where I put my glasses.,"Ich frage mich, wo ich meine Brille hinlege.",أتساءل أين وضعت نظاراتي.
2054,This castle is beautiful.,Dieses Schloss ist wunderschön.,هذه القلعة جميلة.
2055,I can play tennis.,Ich kann Tennis spielen.,أعرف كيف ألعب كرة المضرب.
2056,For some reason the microphone didn't work earlier.,Aus irgendeinem Grund funktionierte das Mikrofon nicht früher.,لسببٍ ما، المايكروفون لم يعمل سابقًا.
2057,Here's a yellow rose.,Hier ist eine gelbe Rose.,هذه وردة صفراء.
2058,Did you come here alone?,Bist du allein hergekommen?,هل جئت وحدك؟
2059,hand painted ads in guinea bissau global voices.,handbemalte Anzeigen in guinea bissau globalen Stimmen.,اعلانات مرسومة يدويا في غينيا بيساو الاصوات العالمية
2060,I am an American citizen.,Ich bin ein amerikanischer Staatsbürger.,أنا مواطن أمريكي.
2061,I can't find my pen.,Ich kann meinen Stift nicht finden.,لا يمكنني إيجاد قلمي.
2062,The man who is standing there is my father.,"Der Mann, der da steht, ist mein Vater.",الرجل الذي يقف هناك هو أبي.
2063,Her husband is now living in Tokyo.,Ihr Mann lebt jetzt in Tokio.,يعيش زوجها الآن في طوكيو.
2064,Listen.,Hör zu.,استمع
2065,She played a tune on the piano.,Sie spielte eine Melodie auf dem Klavier.,عزفت لحناً على البيانو.
2066,Please don't follow this advice.,Bitte folgen Sie diesem Rat nicht.,لا تعمل بهذه النصيحة رجاءً.
2067,faced with the inability of government forces to curb the actions of dahalos villagers in southern madagascar have decided to take justice into their own hands recently a group of villagers killed people that they suspected of being involved in the cattle thefts.,"Angesichts der Unfähigkeit der Regierungskräfte, die Aktionen von Dahalos-Dorfbewohnern im südlichen Madagascar einzudämmen, hat kürzlich eine Gruppe von Dorfbewohnern beschlossen, die Gerechtigkeit in ihre eigenen Hände zu nehmen, die Menschen töteten, die sie verdächtigten, an den Viehdiebstählen beteiligt zu sein.",يصف الان الونيان على موقع ال افريقيا الاجراءات الامنية الاضافية التي اتخذتها الحكومة بعد الحادث متضمنة حشد العديد من عناصر القوات المسلحة في اماكن مختلفة من البلاد مع ذلك قبل امكانية عودة النظام يجب ان يتم التعرف على السارقين والقض عليهم ومحاكمتهم يوضح سيتوين مالجاش لماذا لا تعد هذه مهمة سهلة
2068,Can your brother drive a car?,Kann dein Bruder ein Auto fahren?,هل يستطيع أخوك أن يقود سيارة؟
2069,There are lots of animals in the park.,Es gibt viele Tiere im Park.,هناك الكثير من الحيوانات في الحديقة.
2070,its income not only comes from readers content payment but also from copyrights on the website s most popular works such as legend of concubine zhen huan the secret of the grave robber and the journey of flower which have been adapted into tv dramas.,"sein Einkommen kommt nicht nur von den Lesern zufrieden Zahlung, sondern auch von den Urheberrechten auf der Website die beliebtesten Werke wie Legende von concubine zhen huan das Geheimnis des Grabräubers und die Reise der Blume, die in TV-Dramas angepasst wurden.",لا تاتي ارباحها من مدفوعات القراء فقط انما تحصل عليها ايضا من حقوق نشر الاعمال الاكثر شعبية على الموقع مثل اسطورة تشن هوان و سر سارق القبر و رحلة زهرة والتي تحولت فيما بعد الى مسلسلات تلفزيونية
2071,You should pay back your debts.,Du solltest deine Schulden zurückzahlen.,ينبغي أن ترد الديون التي عليك.
2072,Police shouldn't take bribes.,Die Polizei sollte keine Bestechungsgelder annehmen.,على الشرطة ألا تقبل الرشاوي.
2073,What did you do yesterday evening?,Was hast du gestern Abend gemacht?,ماذا فعلت ليلة الأمس؟
2074,We were late because of the storm.,Wir kamen wegen des Sturms zu spät.,تأخرنا بسبب العاصفة.
2075,We can't leave Tom like this.,Wir können Tom nicht so verlassen.,لا يمكننا ترك توم هكذا
2076,Let's get some sleep.,Lass uns schlafen gehen.,دعينا نأخذ قسطاً من الراحة.
2077,We've made arrangements for you.,Wir haben Vorkehrungen für Sie getroffen.,عملنا بعض التحضيرات لأجلك.
2078,You're wrong. That's not the case.,Das ist nicht der Fall.,"أنتَ مخطئ, تلك ليست القضية."
2079,I was hungry.,Ich hatte Hunger.,كنت جائعاً.
2080,The hammer and sickle symbolizes communism.,Hammer und Sichel symbolisiert den Kommunismus.,المطرقة والمنجل يرمزان للشيوعية.
2081,That's good news.,Das sind gute Neuigkeiten.,هذه أخبار طيبة.
2082,"If her temperature goes up, send for the doctor.","Wenn ihre Temperatur steigt, rufen Sie den Arzt.",إن ارتفعت حرارتها، فاطلب الطبيب.
2083,He hurt his left foot when he fell.,"Er verletzte seinen linken Fuß, als er fiel.",لقد أصاب قدمه اليسرى عندما سقط.
2084,Do you promise?,Versprichst du es?,أتعديني؟
2085,This is a list of what we need.,"Das ist eine Liste dessen, was wir brauchen.",هذا قائمة ما نحتاج.
2086,Tom is waiting.,Tom wartet.,توم ينتظر.
2087,Our company makes use of the Internet.,Unser Unternehmen nutzt das Internet.,تستفيد شركتنا من الإنترنت.
2088,You look pale.,Du siehst blass aus.,تبدو شاحباً.
2089,Can you speak French?,Können Sie Französisch sprechen?,أيمكنك أن تتكلم اللغة الفرنسية؟
2090,Who owns this house?,Wem gehört dieses Haus?,من مالك هذا البيت؟
2091,backlash and legal battles ensue.,Rückschläge und legale Kämpfe folgen.,رد الفعل وبداية المعركة القضايية
2092,I guess I'd better get back to work.,"Ich schätze, ich gehe besser wieder an die Arbeit.",لعله من الأفضل أن أعود لعملي.
2093,I'll make you happy.,Ich werde dich glücklich machen.,سأجعلك سعيدةً.
2094,z says that there are only two red lines he never crosses libel and racism for him religion should not be a taboo and this is what provoked some internet users who reported his facebook page over caricatures which they deemed insulting to islam on august z wrote.,"z sagt, dass es nur zwei rote Linien, die er nie Kreuz Verleumdung und Rassismus für ihn Religion sollte kein Tabu sein, und dies ist es, was einige Internet-Nutzer provoziert, die seine Facebook-Seite über Karikaturen berichtet, die sie als Beleidigung des Islam auf August z schrieb.",يقول ان هناك خطان حمراوان فقط لا يتعداهما العنصرية والتشهير ويقول ان الدين لا يجب ان يكون تابوه ولهذا قاب بعض مستخدمي الانترنت بالتبليغ عن صفحته على فيسبوك بسبب رسوم كاريكاتير يعتبرها البعض مسيية للاسلام كتب في اغسطس اب
2095,We'll kill you.,Wir bringen dich um.,سنقتلك.
2096,protest at syntagma square photo courtesy of the athens indignants licensed cc by nc nd.,Protest auf syntagma Quadrat Foto mit freundlicher Genehmigung der Athener Entrüster lizenziert cc von nc nd.,تظاهرة في ساحة سانتجما الصورة باذن من حركة احتجاج اثينا مرخص
2097,I'm not tired at all.,Ich bin überhaupt nicht müde.,أنا لست متعباً على الإطلاق.
2098,This book is older than that one.,Dieses Buch ist älter als das.,هذا الكتاب أقدم من ذاك.
2099,Do you remember what you did last Friday?,"Weißt du noch, was du letzten Freitag getan hast?",أتذكرُ ما فعلتَ الجمعة الماضية؟
2100,You should acknowledge your failure.,Du solltest dein Versagen anerkennen.,عليك أن تعترف بفشلك.
2101,greek anarchists anti racism demonstration in photos global voices.,Griechische Anarchisten gegen Rassismus Demonstration in Fotos globale Stimmen.,اليونان تظاهر اللاسلطويين ضد العنصرية الاصوات العالمية
2102,according to wikigender.,Laut Wikigender.,اما موقع ويكيجندر فيتطرق الى الشق القانوني لهذه القضية
2103,How long are you here for?,Wie lange sind Sie hier?,منذ متى وأنت هنا؟
2104,aman ki asha milne do petition logo.,Aman ki asha milne tun Petition Logo.,شعار عريضة ميلين دو التي ترعاها حملة امن کی اشا
2105,Please forgive me.,Bitte vergib mir.,سامحني أرجوك.
2106,We didn't see her anywhere.,Wir haben sie nirgendwo gesehen.,لم نرها مطلقاً.
2107,Thanks for your explanation.,Danke für Ihre Erklärung.,أشكرك لأنك وضّحت لي ذلك.
2108,Can you suggest a better idea?,Können Sie eine bessere Idee vorschlagen?,أيمكنك أن تقترح فكرة أفضل؟
2109,"If you want, I can show you how to do that.","Wenn du willst, kann ich dir zeigen, wie das geht.","إذا أردت, يمكنني أن أُريك كيف تفعل ذلك."
2110,egypt jewish ladies and four men global voices.,"ägyptische jüdische Damen und vier Männer, globale Stimmen.",مصر سيدة يهودية واربع رجال الاصوات العالمية
2111,Please explain why you can't come.,"Bitte erklären Sie, warum Sie nicht kommen können.",من فضلك اشرح لماذا لا يمكنك المجيء.
2112,I broke down the door because I lost the key.,"Ich brach die Tür auf, weil ich den Schlüssel verloren hatte.",لقد كسرت الباب لأنني أضعت المفتاح.
2113,We have a chance.,Wir haben eine Chance.,لدينا فرصة.
2114,working with an indigenous community to teach and encourage new generations to begin to use twitter to connect with others as a way to preserve and promote their native language online.,"Zusammenarbeit mit einer indigenen Gemeinschaft, um neue Generationen zu lehren und zu ermutigen, Twitter zu nutzen, um sich mit anderen zu verbinden, um ihre Muttersprache online zu erhalten und zu fördern.",العمل مع مجتمع للسكان الاصليين لتعليم وتشجيع الاجيال الجديدة منهم لاستعمال تويتر للاتصال مع الاخرين كطريقة للحفاظ على وتشجيع لغتهم الاصلية على الانترنت
2115,Tom knows us well.,Tom kennt uns gut.,يعرفنا توم جيدا
2116,You surprised everybody.,Du hast alle überrascht.,لقد فاجأت الجميع.
2117,rather than obtain a court order the government of sudan blocked youtube entirely following an attack on the german embassy in khartoum allegedly in response to the video in lebanon where one person was killed and more were wounded in a riot a judge ruled to block access to the film online citing not religion but that the plaintiff in the case suffered moral and psychological damage from the film.,"Statt eine gerichtliche Anordnung zu erhalten, blockierte die sudanische Regierung Youtube vollständig nach einem Angriff auf die deutsche Botschaft in Khartoum, angeblich als Reaktion auf das Video in Lebanon, wo eine Person getötet wurde und mehr bei einem Aufstand verwundet wurde, entschied ein Richter, den Zugang zum Film zu blockieren, indem er nicht Religion zitierte, sondern dass der Kläger in dem Fall moralischen und psychologischen Schaden durch den Film erlitt.",قامت الحكومة السودانية بحجب يوتيوب بالكامل كقرار بديل عن استصدار حكم قضايي بعد الهجوم على السفارة الالمانية بالخرطوم بزعم الرد على الفيديو وفي لبنان حيث قتل شخص وجرح اكثر من خمسة وعشرين في احداث شغب اصدر قاض حكما بحجب الفيديو على الانترنت بدون الاشارة الى الدين ولكن الى ان المدعي تضرر اخلاقيا ونفسيا من الفيديو
2118,How many rooms are there in your house?,Wie viele Zimmer gibt es in Ihrem Haus?,كم غرفة في بيتك؟
2119,They might hear us.,Vielleicht hören sie uns.,قد يسمعونا.
2120,the goal of bribr is to show the numbers conclusions and opinions aren t our job.,"Das Ziel von Brigr ist es, die Zahlen Schlussfolgerungen und Meinungen sind nicht unsere Aufgabe zu zeigen.",الهدف من بريبر هو اظهار وعرض الارقام النتايج والاراء ليست مهمتنا
2121,Are you talking to me?,Redest du mit mir?,هل تتكلم معي؟
2122,All of my friends like soccer.,Alle meine Freunde mögen Fußball.,كل أصدقائي يحبون لعب كرة القدم.
2123,That's not what I wanted to tell you.,Das wollte ich dir nicht sagen.,ليس هذا ما أردت إخبارك عنه.
2124,I plan to invite a lot of guests to the opening ceremony.,"Ich habe vor, viele Gäste zur Eröffnungsfeier einzuladen.",أخطط لدعوة ضيوف كثيرين إلى حفل الافتتاح.
2125,She finished reading the letter.,Sie hat den Brief zu Ende gelesen.,لقد أنهت قراءة الرسالة.
2126,Will you be home for Christmas?,Wirst du Weihnachten zu Hause sein?,هل ستكون في البلاد وقت عيد الميلاد؟
2127,I know that you still love me.,"Ich weiß, dass du mich immer noch liebst.",أنا أعرف أنكِ ما زلتِ تحبيني.
2128,It's the end of a world.,Es ist das Ende einer Welt.,انها نهاية العالم.
2129,The conference ended at five.,Die Konferenz endete um fünf Uhr.,انتهى المؤتمر عند الخامسة.
2130,photograph of the human chain posted by the february movement on facebook.,Foto der menschlichen Kette von der Februarbewegung auf Facebook gepostet.,صورة من السلسلة البشرية نشرتها صفحة حركة فبراير على فيسبوك
2131,I want a list of all Tom's relatives.,Ich will eine Liste aller Verwandten von Tom.,"أريد قائمة بجميع أقارب ""توم""."
2132,on january an excerpt from the annual report of l acat france a world of torture makes a fresh assessment of the state of torture in the world fr.,auf Januar ein Auszug aus dem Jahresbericht von l acat france eine Welt der Folter macht eine neue Einschätzung des Zustandes der Folter in der Welt fr.,صدر في من يناير كانون الثاني التقرير السنوي عالم من التعذيب الذي اعدته اكات فرنسا حركة مسيحيون لالغاء التعذيب الذي يرصد حالة الاوضاع القايمة بالفرنسية للظاهرة في العالم
2133,"He would tell me the truth, if I would ask him.","Er würde mir die Wahrheit sagen, wenn ich ihn fragen würde.",كان سيخبرني بالحقيقة إذا كنت سألته.
2134,Where is your school?,Wo ist deine Schule?,أين مدرستك؟
2135,Does Tom always speak for you?,Spricht Tom immer für dich?,هل توم دائما يتكلم من أجلك؟
2136,destroy undesirable data.,unerwünschte Daten zu vernichten.,اتلف اي بيانات غير مرغوب فيها
2137,I'm not going unless Tom goes.,"Ich gehe nicht, es sei denn, Tom geht.",لن أذهب ما لَم يذهب توم.
2138,Do you travel a lot?,Reisen Sie viel?,هل تسافر كثيراً؟
2139,He lived a long life.,Er lebte ein langes Leben.,عاش حياة مديدة.
2140,Even Homer sometimes nods.,Sogar Homer nickt manchmal.,لكلّ جواد كبوة.
2141,I wanted to read them.,Ich wollte sie lesen.,أردت قراءتهم.
2142,He is not Japanese.,Er ist kein Japaner.,هو ليس يابانياً.
2143,I don't like her.,Ich mag sie nicht.,لا أحبها.
2144,censorship.,Zensur.,الحجب
2145,activists call for urgent online action to save gholamreza khosravi a political prisoner from execution in iran.,"Aktivisten fordern dringende Online-Aktionen, um Gholamreza khosravi einen politischen Gefangenen vor der Hinrichtung in Iran zu retten.",يدعو النشطاء لاتخاذ اجراء على الانترنت لانقاذ غلامرضا خسرو سجين سياسي من الاعدام في ايران
2146,War broke out in 1939.,1939 brach der Krieg aus.,اِندلعت الحرب عام ١٩٣٩ ميلادية.
2147,Why is snow white?,Warum ist Schneeweiß?,لماذا الثلج أبيض؟
2148,He speaks Chinese fluently.,Er spricht fließend Chinesisch.,إنه يتكلم الصينية بطلاقة.
2149,The magazine comes out every week.,Die Zeitschrift erscheint jede Woche.,تصدر المجلة كل إسبوع.
2150,When will his new novel come out?,Wann kommt sein neuer Roman heraus?,متى ستنشر روايته الجديدة؟
2151,Let's go someplace else.,Gehen wir woanders hin.,هيا بنا نذهب إلى مكان آخر.
2152,Who stole the apple?,Wer hat den Apfel gestohlen?,من سرق التفاحة؟
2153,What is his nationality?,Was ist seine Nationalität?,ما جنسيته؟
2154,He began to cry.,Er fing an zu weinen.,أخذت تبكي.
2155,How interesting!,Wie interessant!,كم هذا مثير للإهتمام!
2156,I understood the reason for this.,Ich verstand den Grund dafür.,فهمت سبب هذا.
2157,You'd better consult the doctor.,Sie sollten besser den Arzt fragen.,الأفضل أن تستشير الطبيب.
2158,What you did was wrong.,"Was du getan hast, war falsch.",ما فعلتيهِ أنتِ كان خاطئاً.
2159,I'm looking forward to spending time with my family.,"Ich freue mich darauf, Zeit mit meiner Familie zu verbringen.",أنا أتتطلع لقضاء وقت مع عائلتي.
2160,I want to try this.,Ich will es versuchen.,أريد أن أجرب ذلك.
2161,Tom has a scar on his face.,Tom hat eine Narbe im Gesicht.,لتوم ندب على وجهه.
2162,This is what I found in the cave.,Das habe ich in der Höhle gefunden.,هذا ما وجدته في الكهف.
2163,Stand at ease!,Rühren Sie sich!,استرح.
2164,I'm happy.,Ich bin glücklich.,أنا سعيد
2165,show your care by sharing this article where are many ways that can help to save syrian children from their horrific destiny.,"Zeigen Sie Ihre Fürsorge, indem Sie diesen Artikel, wo viele Möglichkeiten, die helfen können, syrische Kinder vor ihrem schrecklichen Schicksal zu retten.",يمكنكم ابداء تضامنكم مع اطفال سوريا عن طريق
2166,Tom is in the house.,Tom ist im Haus.,توم موجود في المنزل.
2167,I want Tom to understand.,"Ich möchte, dass Tom es versteht.",أريد أن يفهم توم
2168,Who's there?,Wer ist da?,من هناك؟
2169,Cheer him up when you see him.,"Mach ihn fertig, wenn du ihn siehst.",سلّه عندما تراه.
2170,What time did he say he'd come?,"Wann hat er gesagt, dass er kommt?",متى قال أنه سيأتي؟
2171,The meeting was held here.,Das Treffen fand hier statt.,انعقد الإجتماع هنا.
2172,careem is a company and every driver is an employee who follows rules and regulations and is confronted by the company in case the driver breaks said rules this makes me feel safer knowing that if the driver commits an unauthorized act he will be questioned and i will receive compensation.,"careem ist ein Unternehmen und jeder Fahrer ist ein Mitarbeiter, der Regeln und Vorschriften folgt und wird durch das Unternehmen konfrontiert, falls der Fahrer diese Regeln bricht, dies macht mich sicherer zu wissen, dass, wenn der Fahrer eine unbefugte Handlung begeht, wird er in Frage gestellt und ich werde eine Entschädigung erhalten.",كريم شركة جميع سايقيها موظفون يتبعون قوانين ولوايح محددة ويتعرضون للمسايلة عند خرق اي من هذه القوانين معرفتي بذلك تشعرني بالامان خاصة انه في حال ارتكاب السايق لاي عمل يتعارض مع اللوايح فسيتعرض للمسايلة وسيتم تعويضي
2173,Are you all ready?,Seid ihr bereit?,هل كلكم جاهزون؟
2174,I was laughed at by everyone.,Ich wurde von allen ausgelacht.,ضحك الجميع عليّ.
2175,When do you play tennis?,Wann spielst du Tennis?,متى تلعب التنس؟
2176,in march israeldefense com wrote about belmokhtar s visits to libya and already reported fears of a possible aqim expansion in the southern sahara.,im März israeldefense com schrieb über belmokhtar s Besuche in Libya und bereits berichteten Ängste vor einer möglichen aqim Expansion in der südlichen Sahara.,في مارس اذار كتب موقع مجلة دفاع اسراييل عن زيارة بالمختار الى ليبيا واعربت عن قلقها حيال توسع تنظيم القاعدة في بلاد المغرب الاسلامي في شرق الصحراء الكبرى
2177,our armed forces in the border region responded immediately to this abominable attack in line with their rules of engagement targets were struck through artillery fire against places in syria identified by radar.,"Unsere Streitkräfte in der Grenzregion reagierten sofort auf diesen abscheulichen Angriff, der gemäß den Regeln ihrer Einsatzziele durch Artilleriefeuer gegen Orte in Syrien getroffen wurde, die durch Radar identifiziert wurden.",ان قواتنا المسلحة في المنطقة الحدودية ردت فورا على هذا الهجوم البغيض وفقا لقواعد الاشتباك؛ واصابت نيران المدفعية الموجهة ضد اماكن في سوريا قد حددت بالرادار عددا من الاهداف
2178,Tom sighed deeply.,Tom seufzte tief.,توم تنهد بعمق
2179,What did you major in at college?,Was hast du auf dem College studiert?,أي تخصص درست في الجامعة؟
2180,"What's important is not the goal, but the journey.","Wichtig ist nicht das Ziel, sondern die Reise.","ما هو مهم ليس الهدف, ولكن الرحلة."
2181,She needs him more than he needs her.,"Sie braucht ihn mehr, als er sie braucht.",هي تحتاجه أكثر ممّا يحتاجها.
2182,Tom got a little carried away.,Tom wurde ein wenig überwältigt.,اندفع توم زيادة.
2183,Tom is watching.,Tom sieht zu.,توم يشاهد
2184,It was very kind of you to give me a nice gift.,"Es war sehr nett von Ihnen, mir ein nettes Geschenk zu schenken.",كان لطفًا عظيمًا منك أن تهديني هديةً جميلةً.
